what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506473728166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506473734023
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1506473736453
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1506473736543
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1506473736573
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1506473736713
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1506473738348
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1506473738368
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1506473738378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506473739484
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506473743086
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506473757062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506473763484
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1506473766382
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1506473769916
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506473775249
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506473777930
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506473784530
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506473784580
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506473785080
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506473787354
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1506473788134
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506473796566
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506473799737
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1506473812146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506473817689
opened,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1506473818181
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1506473818691
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1506473818741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506473821204
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1506473842708
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1506473849432
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1506473859193
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1506473863152
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1506473876999
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506473881555
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506473881645
