what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1506459306328
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1506459306342
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1506459306344
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1506459310740
error,log,,,"Unable to validate connection settings.",1506459314784
error,log,,,"Unable to validate connection settings.",1506459314792
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506459314870
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506459316888
started,bundle,com.altera.debug.cdi.gdb.plugin,13.0.0.156,"com.altera.debug.cdi.gdb.plugin",1506459328408
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506459328600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506459328625
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506459332223
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506459393659
opened,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1506459396866
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1506459397183
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1506459397206
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x10110b0] return code: 4, 'other error'",1506459399760
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1506459401904
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x10110b0, /cygdrive/d/compsys303/assignment2/pacemaker/pacemaker.elf] return code: 4, 'other error'",1506459402858
error,log,,,"Downloading ELF Process failed",1506459402862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506459402879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506459404489
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1506459409713
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1506459411495
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --stop, --accept-bad-sysid, --sidp=0x10110b0] return code: 4, 'other error'",1506459412402
error,log,,,"Failed Executing: [nios2-download, '--cable=USB-Blaster on localhost [USB-0]', --device=1, --instance=0, --go, --accept-bad-sysid, --sidp=0x10110b0, /cygdrive/d/compsys303/assignment2/pacemaker/pacemaker.elf] return code: 4, 'other error'",1506459415419
error,log,,,"Downloading ELF Process failed",1506459415422
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506459415443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506459425089
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1506459428435
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1506459429225
activated,view,com.altera.sbtgui.launch,13.0.0.156,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1506459433352
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1506459435591
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506459442417
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1506459442432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506459446370
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1506459448829
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506459472731
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1506459472748
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1506459482325
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1506459490460
